cooalpha,codalpha,comcode,year,imports_total,imports_ex_special,eligibility_mfn,eligibility_gsp,eligibility_fta,eligibility_combined_pref,eligibility_unknown,eligibility_pref_mfn_0,eligibility_pref_unknown,use_mfn_0,use_mfn_non_0,use_gsp_0,use_gsp_non_0,use_fta_0,use_fta_non_0,use_unknown,eligibility_pref,use_pref,pur_pct
AD,IT,69041000,2023,8196,8196,0,0,8196,0,0,0,0,0,0,0,0,8196,0,0,8196,8196,1.0
AD,IT,70200080,2025,1346,1346,1346,0,0,0,0,0,0,1346,0,0,0,0,0,0,0,0,
AD,IT,84099900,2026,1463,1463,0,0,1463,0,0,0,0,0,1463,0,0,0,0,0,1463,0,0.0
AD,IT,84148022,2023,15569,15569,0,0,15569,0,0,0,0,0,0,0,0,15569,0,0,15569,15569,1.0
AD,IT,84213100,2026,1783,1783,1783,0,0,0,0,0,0,1783,0,0,0,0,0,0,0,0,
AD,IT,85115000,2022,1754,1754,0,0,1754,0,0,0,0,0,1754,0,0,0,0,0,1754,0,0.0
AD,IT,85444290,2023,3424,3424,0,0,3424,0,0,0,0,0,3424,0,0,0,0,0,3424,0,0.0
AD,IT,87084050,2025,1313,1313,0,0,1313,0,0,0,0,0,1313,0,0,0,0,0,1313,0,0.0
AD,IT,87089235,2022,41635,41635,0,0,41635,0,0,0,0,0,0,0,0,41635,0,0,41635,41635,1.0
AD,IT,87089435,2024,1571,1571,0,0,1571,0,0,0,0,0,1571,0,0,0,0,0,1571,0,0.0
AD,IT,87089499,2025,3679,3679,0,0,3679,0,0,0,0,0,3679,0,0,0,0,0,3679,0,0.0
AD,IT,87089997,2025,2557,2557,0,0,2557,0,0,0,0,0,2557,0,0,0,0,0,2557,0,0.0
AD,IT,90271090,2025,1094,1094,1094,0,0,0,0,0,0,1094,0,0,0,0,0,0,0,0,
AD,IT,95069990,2025,883,883,0,0,883,0,0,0,0,0,883,0,0,0,0,0,883,0,0.0
AD,KR,85311030,2022,2346,2346,0,0,2346,0,0,0,0,0,2346,0,0,0,0,0,2346,0,0.0
AD,KR,90271010,2022,92821,92821,92821,0,0,0,0,0,0,92821,0,0,0,0,0,0,0,0,
AD,KR,90271090,2024,54196,54196,54196,0,0,0,0,0,0,54196,0,0,0,0,0,0,0,0,
AD,KR,90279000,2022,9066,9066,9066,0,0,0,0,0,0,9066,0,0,0,0,0,0,0,0,
AD,LT,44181990,2022,3704,3704,0,0,3704,0,0,0,0,0,0,0,0,3704,0,0,3704,3704,1.0
AD,LV,44123390,2022,12811,12811,0,0,12811,0,0,0,0,0,0,0,0,12811,0,0,12811,12811,1.0
AD,LV,87032390,2023,4606,4606,0,0,4606,0,0,0,0,0,0,0,0,4606,0,0,4606,4606,1.0
AD,LV,94039100,2023,10584,10584,0,0,10584,0,0,0,0,0,0,0,0,10584,0,0,10584,10584,1.0
AD,MX,85299097,2024,3395,3395,3395,0,0,0,0,0,0,3395,0,0,0,0,0,0,0,0,
AD,MX,85322400,2024,1577,1577,1577,0,0,0,0,0,0,1577,0,0,0,0,0,0,0,0,
AD,MX,85423290,2024,14808,14808,14808,0,0,0,0,0,0,14808,0,0,0,0,0,0,0,0,
AD,MX,85423390,2024,2433,2433,2433,0,0,0,0,0,0,2433,0,0,0,0,0,0,0,0,
AD,MX,85423990,2024,3088,3088,3088,0,0,0,0,0,0,3088,0,0,0,0,0,0,0,0,
AD,NL,6031400,2023,1046,1046,1046,0,0,0,0,0,0,0,1046,0,0,0,0,0,0,0,
AD,NL,6031970,2023,12283,12283,12283,0,0,0,0,0,0,0,12283,0,0,0,0,0,0,0,
AD,NL,29221100,2026,22983,22983,0,0,22983,0,0,0,0,0,0,0,0,22983,0,0,22983,22983,1.0
AD,NL,39011010,2023,1823,1823,0,0,1823,0,0,0,0,0,0,0,0,1823,0,0,1823,1823,1.0
AD,NL,39233010,2024,22693,22693,0,0,22693,0,0,0,0,0,0,0,0,22693,0,0,22693,22693,1.0
AD,NL,58061000,2025,22751,22751,0,0,22751,0,0,0,0,0,22751,0,0,0,0,0,22751,0,0.0
AD,NL,64029931,2025,1062,1062,0,0,1062,0,0,0,0,0,0,0,0,1062,0,0,1062,1062,1.0
AD,NL,82079099,2025,12415,12415,12415,0,0,0,0,0,0,12415,0,0,0,0,0,0,0,0,
AD,NL,83063000,2024,1018,1018,0,0,1018,0,0,0,0,0,1018,0,0,0,0,0,1018,0,0.0
AD,NL,84248970,2025,2196,2196,2196,0,0,0,0,0,0,2196,0,0,0,0,0,0,0,0,
AD,NL,84313900,2025,2053,2053,2053,0,0,0,0,0,0,2053,0,0,0,0,0,0,0,0,
AD,NL,87099000,2023,1172,1172,1172,0,0,0,0,0,0,1172,0,0,0,0,0,0,0,0,
AD,NL,87116010,2023,62593,62593,0,0,62593,0,0,0,0,0,62593,0,0,0,0,0,62593,0,0.0
AD,NL,90184990,2022,1606,1606,1606,0,0,0,0,0,0,1606,0,0,0,0,0,0,0,0,
AD,NL,90189020,2023,4696,4696,4696,0,0,0,0,0,0,4696,0,0,0,0,0,0,0,0,
AD,PL,27101981,2025,166461,166461,0,0,166461,0,0,0,0,0,166461,0,0,0,0,0,166461,0,0.0
AD,PL,27101981,2026,255464,255464,0,0,255464,0,0,0,0,0,255464,0,0,0,0,0,255464,0,0.0
AD,PL,84099900,2025,2249,2249,0,0,2249,0,0,0,0,0,2249,0,0,0,0,0,2249,0,0.0
AD,PL,84099900,2026,986,986,0,0,986,0,0,0,0,0,986,0,0,0,0,0,986,0,0.0
